Traffic Load,Gamma,Avg Delay (ms),Avg Bottleneck Util,Success Rate (%)
10,1.0,66.19584652008726,0.0,100.0
10,2.0,71.80578927819776,0.0,100.0
10,3.0,70.66144773914256,0.0,100.0
10,4.0,66.19584652008726,0.0,100.0
10,5.0,90.51986199287384,0.0,100.0
10,6.0,71.80578927819776,0.0,100.0
10,7.0,66.19584652008726,0.0,100.0
10,8.0,70.66144773914256,0.0,100.0
10,9.0,66.19584652008726,0.0,100.0
10,10.0,66.19584652008726,0.0,100.0
10,11.0,66.19584652008726,0.0,100.0
10,12.0,66.19584652008726,0.0,100.0
10,13.0,90.51986199287384,0.0,100.0
10,14.0,66.19584652008726,0.0,100.0
10,15.0,66.19584652008726,0.0,100.0
30,1.0,77.33842454363875,0.0,100.0
30,2.0,76.96102533370735,0.0,100.0
30,3.0,83.7388380463769,0.0,100.0
30,4.0,77.05978023540779,0.0,100.0
30,5.0,83.77125288560865,0.0,100.0
30,6.0,78.16190837269306,0.0,100.0
30,7.0,77.33842454363875,0.0,100.0
30,8.0,78.44055268092401,0.0,100.0
30,9.0,78.63348561696543,0.0,100.0
30,10.0,77.05978023540779,0.0,100.0
30,11.0,75.76471916208112,0.0,100.0
30,12.0,85.12929968001666,0.0,100.0
30,13.0,83.77125288560865,0.0,100.0
30,14.0,75.29574065080816,0.0,100.0
30,15.0,78.63348561696543,0.0,100.0
50,1.0,70.4772329580114,0.0,100.0
50,2.0,73.60891591620445,0.0,100.0
50,3.0,74.48175045612157,0.0,100.0
50,4.0,70.60504794605772,0.0,100.0
50,5.0,69.68272304404714,0.0,100.0
50,6.0,68.81329599847318,0.0,100.0
50,7.0,70.4772329580114,0.0,100.0
50,8.0,70.60504794605772,0.0,100.0
50,9.0,68.9175387044718,0.0,100.0
50,10.0,71.72851383654239,0.0,100.0
50,11.0,70.83685995236775,0.0,100.0
50,12.0,72.97877124913327,0.0,100.0
50,13.0,69.75113603781199,0.0,100.0
50,14.0,69.68272304404714,0.0,100.0
50,15.0,73.68542572735427,0.0,100.0
80,1.0,69.04940907732522,0.0,100.0
80,2.0,71.99818951035957,0.0,100.0
80,3.0,69.47323560355917,0.0,100.0
80,4.0,69.36148877926561,0.0,100.0
80,5.0,74.10330641748423,0.0,100.0
80,6.0,68.73082650765484,0.0,100.0
80,7.0,69.57013199635817,0.0,100.0
80,8.0,69.08524252169343,0.0,100.0
80,9.0,69.6584878759267,0.0,100.0
80,10.0,71.03791789571491,0.0,100.0
80,11.0,71.60580278802954,0.0,100.0
80,12.0,68.11657661351515,0.0,100.0
80,13.0,71.44842335850622,0.0,100.0
80,14.0,74.59213646323145,0.0,100.0
80,15.0,68.92513076822857,0.0,100.0
100,1.0,76.90517588651504,0.0,100.0
100,2.0,74.85921759147973,0.0,100.0
100,3.0,76.85141012205163,0.0,100.0
100,4.0,76.46962448328749,0.0,100.0
100,5.0,78.8952238996113,0.0,100.0
100,6.0,79.53285045264653,0.0,100.0
100,7.0,81.28689907906958,0.0,100.0
100,8.0,78.1921452048899,0.0,100.0
100,9.0,76.29983505273343,0.0,100.0
100,10.0,76.7805364505228,0.0,100.0
100,11.0,75.04818288794806,0.0,100.0
100,12.0,76.89578422973894,0.0,100.0
100,13.0,74.41774099173425,0.0,100.0
100,14.0,74.70642302865932,0.0,100.0
100,15.0,76.48484082610017,0.0,100.0
150,1.0,78.43835373353,0.0,100.0
150,2.0,78.97638304601809,0.0,100.0
150,3.0,82.57811272317495,0.0,100.0
150,4.0,76.83126747033967,0.0,100.0
150,5.0,81.47763305948516,0.0,100.0
150,6.0,76.80928329559003,0.0,100.0
150,7.0,80.64079810486432,0.0,100.0
150,8.0,75.20418325524152,0.0,100.0
150,9.0,86.31273628780232,0.0,100.0
150,10.0,76.21596270912332,0.0,100.0
150,11.0,76.07826073660661,0.0,100.0
150,12.0,77.92568123635228,0.0,100.0
150,13.0,76.02601147603886,0.0,100.0
150,14.0,80.04985989631503,0.0,100.0
150,15.0,80.23457567716105,0.0,100.0
200,1.0,78.72052097662977,0.0,100.0
200,2.0,76.27411733295828,0.0,100.0
200,3.0,77.83631585539341,0.0,100.0
200,4.0,78.96189793644251,0.0,100.0
200,5.0,78.29485078540932,0.0,100.0
200,6.0,77.04433983348328,0.0,100.0
200,7.0,79.26362868579868,0.0,100.0
200,8.0,78.23405726824494,0.0,100.0
200,9.0,76.21900002075922,0.0,100.0
200,10.0,77.92208802110488,0.0,100.0
200,11.0,80.47994492811665,0.0,100.0
200,12.0,78.42197860707086,0.0,100.0
200,13.0,79.85384040552204,0.0,100.0
200,14.0,79.18451206881502,0.0,100.0
200,15.0,78.21505032919946,0.0,100.0
250,1.0,80.11461057262918,0.0,100.0
250,2.0,79.15266507483594,0.0,100.0
250,3.0,82.13324201673007,0.0,100.0
250,4.0,79.37329831245326,0.0,100.0
250,5.0,78.48879039138129,0.0,100.0
250,6.0,80.67072989065778,0.0,100.0
250,7.0,81.59783502372036,0.0,100.0
250,8.0,81.17484596601521,0.0,100.0
250,9.0,79.45143231945991,0.0,100.0
250,10.0,79.11640782740407,0.0,100.0
250,11.0,79.62715097147087,0.0,100.0
250,12.0,81.45383203400098,0.0,100.0
250,13.0,80.32986376555657,0.0,100.0
250,14.0,79.07381061693492,0.0,100.0
250,15.0,79.69544603640124,0.0,100.0
300,1.0,66.38532890630049,0.0,100.0
300,2.0,67.23310228531513,0.0,100.0
300,3.0,65.27537448746288,0.0,100.0
300,4.0,67.14213090079188,0.0,100.0
300,5.0,65.45089922424057,0.0,100.0
300,6.0,66.9488158829421,0.0,100.0
300,7.0,66.23490201421875,0.0,100.0
300,8.0,66.9752783155249,0.0,100.0
300,9.0,65.57147990526967,0.0,100.0
300,10.0,65.17902909000914,0.0,100.0
